id,x CM,y CM,z CM,distance,flags?
B05-201,1.583953,-1.281521,-7.122179,7.407876678758293,
B05-202,0.278645,-1.459584,4.879204,5.100456858233093,
B05-215,-0.777877,1.146345,-7.698851,7.822499997210292,
B05-216,3.314125,7.164816,-8.408699,11.533613124345814,
B05-217,-0.514941,-0.710421,-0.240241,0.9097131244535279,
B05-229,-1.150037,32.988797,-0.088398,33.00895525179465,!off center
B05-231,-1.765727,4.999842,-2.116992,5.709454176325177,
B05-232,4.429329,17.958686,1.527103,18.559779142259373,
B06-202,-2.891619,2.971094,5.628726,6.990809422454098,
B06-203,5.698825,-0.394143,-14.925146,15.980986771985952,
B06-210,4.958497,7.887132,-5.607732,10.87383105755543,
B06-212,2.173934,0.017553,-7.683604,7.9852406083336644,
B06-213,6.522937,0.88225,8.011829,10.36901519401481,
B06-217,-1.954092,1.861219,2.43943,3.637778227891992,
B06-219,3.361922,2.756169,2.471711,5.000834166233269,
B06-234,6.249463,2.497769,5.037426,8.40656282146312,
B06-235,4.396565,-1.215544,0.453232,4.583966651382293,
B07-227,3.962454,1.617105,-4.64578,6.316592601358821,
B07-228,3.726687,6.666002,1.963466,7.885364759675293,
B07-229,-0.102484,2.854134,2.162576,3.582362183809449,
B07-230,4.637249,-9.913057,-3.184373,11.39793879507953,
B07-235,-3.71751,-9.375676,-3.216626,10.586305487796581,
B07-236,-3.5782,3.140929,-0.324719,4.772252366755345,
B07-237,-3.037776,16.619572,-7.437302,18.459461463665836,
B07-238,0.632641,16.0542,-2.707582,16.293206331523734,
B07-243,5.682313,18.715391,-1.157195,19.59320396415234,
B07-267,-3.273558,8.802336,1.880664,9.577797143245204,
B07-271,1.62332,-17.109534,24.169025,29.65658596282082,!off center
B07-276,2.560044,0.011757,0.451433,2.5995682838644574,
B07-277,3.226479,2.970032,5.387889,6.946985295420309,
B08-206,1.065373,0.751149,3.253001,3.5044628625983467,
B08-218,2.56337,3.132492,0.234452,4.054422231005054,
B08-220,2.35089,-5.079822,3.972856,6.8640265253362776,
B08-221,-1.638962,7.024731,-0.406108,7.224815967723261,
B08-223,2.607063,3.164989,-0.736269,4.16605627619827,
B08-224,1.725744,-2.968362,0.393896,3.456084399345016,
B08-231,2.133093,0.031238,1.577561,2.6532546557038206,
B08-247,4.892005,-6.682169,0.266655,8.28578302597956,
B08-251,7.015821,-6.082638,-2.113941,9.52307596811902,
B09-201,-3.822106,-2.529551,-6.334303,7.81860070809643,
B09-210,3.858489,16.917185,-0.550316,17.360355220651506,
B09-211,1.719549,-4.152656,1.674682,4.7964528996812845,
B09-215,3.094129,-5.711189,-4.86891,8.11773359075438,
B09-216,9.147032,-1.714401,-7.870647,12.188291487999209,
B09-218,0.435222,-5.126911,1.507285,5.3615802392979255,
B09-225,n/a,n/a,n/a,n/a,!rad_nu_mri.nii not found
B09-228,5.947778,0.733996,3.23881,6.812099785044255,
B09-229,1.042058,-6.199739,1.625469,6.493442693475164,
B09-230,0.219896,-1.290906,2.22516,2.5818848884588173,
B09-260,1.059808,-20.902709,10.698157,23.505254725958494,!off center
B09-270,2.515873,4.293873,0.591496,5.011669363622664,
B09-277,2.822542,-9.575585,-5.080992,11.201564673653989,
B09-290,4.028334,-1.198191,1.788523,4.56748847941251,
B10-201,0.150652,5.341155,-3.292921,6.276460903357082,
B10-202,1.333019,-8.213077,-2.940233,8.824768753716949,
B10-203,1.692696,9.753889,-9.190225,13.507916416803962,
B10-204,-2.522505,5.345173,4.10865,7.1982574764628975,
B10-205,0.904073,3.620696,3.736923,5.281229120353897,
B10-210,-2.56872,3.094896,-0.185622,4.02630838561827,
B10-211,-0.211044,2.024027,0.638273,2.1327487637305054,
B10-216,-1.386761,8.381726,3.460838,9.173540018577398,
B10-220,-0.418077,0.858478,4.527019,4.626626619987181,
B10-221,2.367251,-0.762798,-3.89493,4.621278804693025,
B10-228,-5.839899,4.14465,2.767245,7.677251385927518,
B10-232,0.751028,1.983315,1.544806,2.6237391302576176,
B10-257,0.51232,5.99565,3.185408,6.808605938910255,
B10-261,1.340198,3.906505,1.71931,4.473582330786928,
B10-264,-2.734846,-5.660958,1.371971,6.434915115704402,
B10-270,0.95473,-5.163243,-0.29316,5.258947654764116,
B10-282,0.530664,1.792382,1.607024,2.4651092574967137,
B10-294,4.871746,6.994657,-1.555521,8.664801279752814,
B10-295,5.278233,-0.593842,2.049504,5.693229186434444,
B10-298,n/a,n/a,n/a,n/a,!rad_nu_mri.nii not found
B10-299,-0.794049,-7.276486,1.189819,7.4157556307741155,
B10-306,4.673235,-5.136943,0.326713,6.952269423349687,
B10-309,5.379053,-1.410462,0.28046,5.567968394473247,
B10-311,-3.356713,-6.023233,0.77496,6.938834263639534,
B10-313,0.389485,-0.965713,0.969171,1.4225303479486826,
B10-314,-2.967392,-8.75651,-0.68573,9.271035988208869,
B11-204,-0.048802,-0.911452,5.877284,5.947738528227683,
B11-208,-0.341474,2.213863,6.336591,6.7208763845741135,
B11-210,-3.024496,-0.074897,4.2332,5.203188239399474,
B11-211,2.047912,10.701701,1.347681,10.97891579031855,
B11-213,2.244841,5.084099,-3.097153,6.362368306101982,
B11-216,5.090714,-2.463301,3.286058,6.540749041643549,
B11-219,1.013495,-2.90918,5.733324,6.50857161567736,
B11-224,-1.22145,-7.949049,4.346472,9.141725162882825,
B11-232,-3.937136,-6.0096,1.504847,7.340360790581413,
B11-236,-0.057039,10.428743,-2.897534,10.823938159871666,
B11-243,0.703063,-23.291811,-1.210324,23.333830406229193,!off center
B11-253,-0.306156,-7.847004,-1.791119,8.054645277385777,
B11-255,-0.343422,-7.589481,0.671055,7.626826032660638,
B11-256,-0.412842,-14.974611,-2.159744,15.135187718156025,
B11-257,2.09377,6.956241,-28.440077,29.35321347704387,!off center
B12-235,5.434903,33.130426,23.190808,40.80412813985552,!off center
